Key,en,es,ar,fr,hi
Add Automatic Gateway (Money Out),Add Automatic Gateway (Money Out),Agregar puerta de enlace automática (salida de dinero),إضافة بوابة تلقائية (سحب الأموال),Ajouter une passerelle automatique (Money Out),स्वचालित गेटवे जोड़ें (मनी आउट)
Save & Change,Save & Change,Guardar y cambiar,حفظ وتغيير,Enregistrer et modifier,परिवर्तन को संग्रहित करें
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي,Image de profil,प्रोफ़ाइल छवि
Select State,Select State,Seleccionar estado,اختر الدولة,Sélectionnez l'État,राज्य चुनें
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificaciones push del navegador,تكوين إشعارات المتصفح,Configuration des notifications push du navigateur,ब्राउज़र पुश अधिसूचना कॉन्फ़िगरेशन
Select Method,Select Method,Seleccionar método,حدد الطريقة,Sélectionnez la méthode,विधि का चयन करें
Instance ID,Instance ID,ID de instancia,معرف المثيل,ID d'instance,उदाहरण आईडी
Primary key,Primary key,clave primaria,المفتاح الأساسي,Clé primaire,प्राथमिक कुंजी
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/notificación interna,البث/تكوين الإخطار الداخلي,Configuration de diffusion/notification interne,प्रसारण/आंतरिक अधिसूचना विन्यास
Cluster,Cluster,Grupo,تَجَمَّع,Grappe,झुंड
Notification Body,Notification Body,Organismo de notificación,هيئة الإخطار,Corps de notification,अधिसूचना निकाय
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات,Dernières notifications,नवीनतम सूचनाएं
Body,Body,Cuerpo,جسم,Corps,शरीर
Version,Version,Versión,إصدار,Version,संस्करण
App Environment,App Environment,Entorno de aplicación,بيئة التطبيق,Environnement de l'application,ऐप पर्यावरण
App Debug,App Debug,Depuración de aplicaciones,تصحيح أخطاء التطبيق,Débogage de l'application,ऐप डीबग
App Mode,App Mode,Modo de aplicación,وضع التطبيق,Mode application,ऐप मोड
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات,Connexion à la base de données,डेटाबेस कनेक्शन
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات,Hôte de base de données,डेटाबेस होस्ट
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات,Port de base de données,डेटाबेस पोर्ट
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات,Nom de la base de données,डेटाबेस का नाम
Database Username,Database Username,Nombre de usuario de la base de datos,اسم مستخدم قاعدة البيانات,Nom d'utilisateur de la base de données,डेटाबेस उपयोगकर्ता नाम
PHP Version,PHP Version,Versión PHP,نسخة PHP,Version PHP,पीएचपी संस्करण
Laravel Version,Laravel Version,Versión Laravel,نسخة لارافيل,Version Laravel,लारवेल संस्करण
Server Software,Server Software,Software de servidor,برامج الخادم,Logiciel serveur,सर्वर सॉफ्टवेयर
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP للخادم,Adresse IP du serveur,सर्वर आईपी पता
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم,Protocole de serveur,सर्वर प्रोटोकॉल
Timezone,Timezone,Zona horaria,المنطقة الزمنية,Fuseau horaire,समयक्षेत्र
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني,Méthode d'envoi d'e-mail,ईमेल भेजने की विधि
Send Mail,Send Mail,Enviar correo,إرسال البريد,Envoyer un courrier,मेल भेजने
Port,Port,Puerto,ميناء,Port,पत्तन
Encryption,Encryption,Cifrado,التشفير,Cryptage,कूटलेखन
KYC Data Form,KYC Data Form,Formulario de datos KYC,نموذج بيانات KYC,Formulaire de données KYC,केवाईसी डेटा फॉर्म
Page,Page,Página,صفحة,Page,पेज
Edit Campaign,Edit Campaign,Editar campaña,تحرير الحملة,Modifier la campagne,अभियान संपादित करें
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي,Sous-titre,उप शीर्षक
Add Activities,Add Activities,Agregar actividades,أضف الأنشطة,Ajouter des activités,गतिविधियां जोड़ें
Edit Activity,Edit Activity,Editar actividad,تحرير النشاط,Modifier l'activité,गतिविधि संपादित करें
Setup Blog Section,Setup Blog Section,Configuración de la sección del blog,قسم مدونة الإعداد,Section du blog de configuration,सेटअप ब्लॉग अनुभाग
Heading,Heading,Título,عنوان,Titre,शीर्षक
Setup Footer Section,Setup Footer Section,Configurar sección de pie de página,قسم تذييل الإعداد,Section de pied de page de configuration,पादलेख अनुभाग सेटअप करें
Footer Text,Footer Text,Texto de pie de página,نص التذييل,Texte du pied de page,पादलेख पाठ
Footer Details,Footer Details,Detalles del pie de página,تفاصيل التذييل,Détails du pied de page,पाद लेख विवरण
Add Social Icon,Add Social Icon,Agregar ícono social,إضافة أيقونة الاجتماعية,Ajouter une icône sociale,सामाजिक चिह्न जोड़ें
Edit Solution,Edit Solution,Editar solución,تحرير الحل,Modifier la solution,समाधान संपादित करें
Banner Image,Banner Image,Imagen de banner,صورة البانر,Image de la bannière,बैनर छवि
Button Link,Button Link,Enlace de botón,رابط الزر,Lien du bouton,बटन लिंक
Button Name,Button Name,Nombre del botón,اسم الزر,Nom du bouton,बटन का नाम
Add Item,Add Item,Agregar artículo,إضافة عنصر,Ajouter un article,मद जोड़ें
Edit Item,Edit Item,Editar artículo,تحرير العنصر,Modifier l'élément,आइटम संपादित करें
Happy Users,Happy Users,Usuarios felices,المستخدمين السعداء,Utilisateurs satisfaits,खुश उपयोगकर्ता
Total Service,Total Service,Servicio total,الخدمة الشاملة,Service total,कुल सेवा
Edit Testimonial,Edit Testimonial,Editar testimonio,تحرير الشهادة,Modifier le témoignage,प्रशंसापत्र संपादित करें
Support Ticket,Support Ticket,Boleto de soporte,تذكرة الدعم,Billet d'assistance,समर्थन टिकट
User (Fullname),User (Fullname),Usuario (nombre completo),المستخدم (الاسم الكامل),Utilisateur (nom complet),उपयोगकर्ता (पूरा नाम)
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions,कुल लेनदेन
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Présentation de l'utilisateur,उपयोगकर्ता अवलोकन
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Connectez-vous en tant que membre,सदस्य के रूप में लॉगिन करें
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Journaux de courrier électronique,ईमेल लॉग्स
Last Login,Last Login,Último inicio de sesión,تسجيل الدخول الأخير,Dernière connexion,आखरी लॉगइन
Information of User,Information of User,Información del Usuario,معلومات المستخدم,Informations de l'utilisateur,उपयोगकर्ता की जानकारी
Type,Type,Tipo,يكتب,Taper,प्रकार
Select Type,Select Type,Seleccionar tipo,حدد النوع,Sélectionnez le type,प्रकार चुनें
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد,Solde Ajouter,शेष राशि जोड़ें
subtract,subtract,sustraer,طرح,soustraire,घटाना
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد,Soustraire le solde,शेष घटाना
wallet,Wallet,Billetera,محفظة,Portefeuille,बटुआ
User Wallet,User Wallet,Cartera de usuario,محفظة المستخدم,Portefeuille utilisateur,उपयोगकर्ता बटुआ
Select User Wallet,Select User Wallet,Seleccionar billetera de usuario,حدد محفظة المستخدم,Sélectionnez le portefeuille utilisateur,उपयोगकर्ता वॉलेट का चयन करें
Remark,Remark,Observación,ملاحظة,Remarque,टिप्पणी
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين,Sélectionnez les utilisateurs,उपयोगकर्ता चुनें
email_verified,email_verified,correo electrónico_verificado,email_verified,email_vérifié,ईमेल_सत्यापित
kyc_verified,kyc_verified,kyc_verificado,kyc_verified,kyc_vérifié,kyc_सत्यापित
Edit KYC,Edit KYC,Editar KYC,تحرير اعرف عميلك,Modifier KYC,केवाईसी संपादित करें
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!,Fichier introuvable!,फ़ाइल प्राप्त नहीं हुई!
alert alert-primary,alert alert-primary,alerta alerta primaria,تنبيه التنبيه الابتدائي,alerte alerte-primaire,चेतावनी चेतावनी-प्राथमिक
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,Informations KYC non encore soumises,केवाईसी जानकारी अभी तक जमा नहीं की गई है
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات دخول المستخدم,Journaux de connexion des utilisateurs,उपयोगकर्ता लॉगिन लॉग
SL.,SL.,SL.,إس إل.,SL.,एस.एल.
IP,IP,IP,الملكية الفكرية,IP,आई पी
MAC,MAC,IMPERMEABLE,ماك,MAC,मैक
Location,Location,Ubicación,موقع,Emplacement,जगह
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Navigateur | Système d'exploitation,ब्राउज़र | ओएस
Login at,Login at,Inicia sesión en,تسجيل الدخول في,Connectez-vous à,पर लॉगिन करें
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم,Journaux de courrier électronique des utilisateurs,उपयोगकर्ता ईमेल लॉग
SEND,SEND,ENVIAR,يرسل,ENVOYER,भेजना
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Expéditeur de courrier (méthode),मेल प्रेषक(विधि)
Virtual Card Api,Virtual Card Api,API de tarjeta virtual,واجهة برمجة تطبيقات البطاقة الافتراضية,API de carte virtuelle,वर्चुअल कार्ड एपीआई
Select Platfrom,Select Platfrom,Seleccionar plataforma,حدد المنصة,Sélectionnez la plate-forme,प्लेटफ़ॉर्म का चयन करें
Secret Key,Secret Key,clave secreta,المفتاح السري,Clé secrète,गुप्त कुंजी
Secret Hash,Secret Hash,Hachís secreto,التجزئة السرية,Hachage secret,गुप्त हैश
Base Url,Base Url,URL base,عنوان URL الأساسي,URL de base,बेस यूआरएल
Vault ID Url,Vault ID Url,URL de identificación de la bóveda,عنوان URL لمعرف المخزن,URL de l'ID du coffre-fort,वॉल्ट आईडी यूआरएल
Public Key,Public Key,Clave pública,المفتاح العام,Clé publique,सार्वजनिक कुंजी
card-image,card-image,imagen-de-tarjeta,صورة البطاقة,image de la carte,कार्ड-छवि
Background Image,Background Image,Imagen de fondo,صورة الخلفية,Image d'arrière-plan,पृष्ठभूमि छवि
Site Name,Site Name,Nombre del sitio,اسم الموقع,Nom du site,जगह का नाम
Site Title,Site Title,Título del sitio,عنوان الموقع,Titre du site,घटनास्थल शीर्षक
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP,Expiration du OTP,ओटीपी समाप्ति
input-group-text,input-group-text,texto-grupo-de-entrada,إدخال مجموعة النص,texte du groupe d'entrée,इनपुट-समूह-पाठ
Seconds,Seconds,Artículos de segunda clase,ثواني,Secondes,सेकंड
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Sélectionnez le fuseau horaire,समयक्षेत्र चुनें
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط,Paramètres d'activation,सक्रियण सेटिंग्स
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Logo (version légère),लोगो (हल्का संस्करण)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف),Icône de favori (version légère),फ़ेविकॉन (लाइट संस्करण)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن),Icône de favori (version sombre),फ़ेविकॉन (डार्क संस्करण)
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محركات البحث (SEO),Optimisation des moteurs de recherche (SEO),खोज इंजन अनुकूलन (एसईओ)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة,Image miniature,थंबनेल छवि
Social Title,Social Title,Título social,العنوان الاجتماعي,Titre social,सामाजिक शीर्षक
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Description sociale,सामाजिक विवरण
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم,Utilisateurs non vérifiés KYC,केवाईसी असत्यापित उपयोगकर्ता
Currency Name,Currency Name,Nombre de la moneda,اسم العملة,Nom de la devise,मुद्रा का नाम
ex: USD,ex: USD,ejemplo: USD,على سبيل المثال: دولار أمريكي,exemple : USD,उदाहरणार्थ: USD
APP ID,APP ID,ID DE APLICACIÓN,معرف التطبيق,Identifiant de l'application,एपीपी आईडी
Host,Host,Anfitrión,يستضيف,Hôte,मेज़बान
Web Version,Web Version,Versión Web,نسخة الويب,Version Web,वेब संस्करण
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن),Logo (version sombre),लोगो (डार्क संस्करण)
Add,Add,Agregar,يضيف,Ajouter,जोड़ना
I have agreed with,I have agreed with,he estado de acuerdo con,لقد اتفقت مع,je suis d'accord avec,मैं इससे सहमत हूं
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité,उपयोग की शर्ते प्राइवेसि पॉलिसी
Transfer Money Charge,Transfer Money Charge,Cargo por transferencia de dinero,رسوم تحويل الأموال,Frais de transfert d'argent,ट्रांसफर मनी चार्ज
Virtual Card Charges,Virtual Card Charges,Cargos de tarjeta virtual,رسوم البطاقة الافتراضية,Frais de carte virtuelle,वर्चुअल कार्ड शुल्क
Card Reload Charges,Card Reload Charges,Cargos de recarga de tarjeta,رسوم إعادة شحن البطاقة,Frais de rechargement de carte,कार्ड पुनः लोड शुल्क
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع,Couleur de base du site,साइट का आधार रंग
1 year,1 year,1 año,1 سنة,1 an,1 वर्ष
Complete Logs,Complete Logs,Registros completos,سجلات كاملة,Journaux complets,पूर्ण लॉग
Customer Email,Customer Email,Correo electrónico del cliente,البريد الإلكتروني للعميل,E-mail du client,ग्राहक ईमेल
Date Of Birth,Date Of Birth,Fecha de nacimiento,تاريخ الميلاد,Date de naissance,जन्म तिथि
transaction,Transaction,Transacción,عملية,Transaction,लेन-देन
transferFee,Transfer Fee,Tarifa de transferencia,رسوم النقل,Frais de transfert,स्थानांतरण शुल्क
Screenshoot,Screenshoot,Captura de pantalla,لقطة شاشة,Capture d'écran,स्क्रीनशूट
Your Card Is Pending! Please Contact With Admin,Your Card Is Pending! Please Contact With Admin,¡Tu tarjeta está pendiente! Por favor contacte con el administrador,بطاقتك معلقة! يرجى الاتصال مع المشرف,Votre carte est en attente ! Veuillez contacter l'administrateur,आपका कार्ड लंबित है! कृपया व्यवस्थापक से संपर्क करें
Something went Wrong!,Something went Wrong!,¡Algo salió mal!,حدث خطأ ما!,Quelque chose s'est mal passé !,कुछ गलत हो गया!
Update,Update,Actualizar,تحديث,Mise à jour,अद्यतन
pleaseFillOutTheField,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le champ,कृपया फ़ील्ड भरें
Enter Card Holder's Name,Enter Card Holder's Name,Ingrese el nombre del titular de la tarjeta,أدخل اسم حامل البطاقة,Entrez le nom du titulaire de la carte,कार्ड धारक का नाम दर्ज करें
Card Holder's Name,Card Holder's Name,Nombre del tarjetahabiente,اسم حامل البطاقة,Nom du titulaire de la carte,कार्डधारक का नाम
Total Gift Cards,Total Gift Cards,Tarjetas de regalo totales,إجمالي بطاقات الهدايا,Total des cartes-cadeaux,कुल उपहार कार्ड
Card Name,Card Name,Nombre de la tarjeta,اسم البطاقة,Nom de la carte,कार्ड का नाम
Receiver Phone,Receiver Phone,Teléfono receptor,هاتف المتلقي,Téléphone récepteur,रिसीवर फ़ोन
Card Unit Price,Card Unit Price,Precio unitario de la tarjeta,سعر وحدة البطاقة,Prix ​​unitaire de la carte,कार्ड इकाई मूल्य
Card Quantity,Card Quantity,Cantidad de tarjeta,كمية البطاقة,Quantité de carte,कार्ड की मात्रा
Card Total Price,Card Total Price,Precio Total de la Tarjeta,السعر الإجمالي للبطاقة,Prix ​​total de la carte,कार्ड की कुल कीमत
Gift Card,Gift Card,Tarjeta de regalo,بطاقة هدية,Carte-cadeau,उपहार कार्ड
My Gift Card,My Gift Card,Mi tarjeta de regalo,بطاقة الهدايا الخاصة بي,Ma carte cadeau,मेरा उपहार कार्ड
Card Images,Card Image,Imagen de la tarjeta,صورة البطاقة,Image de la carte,कार्ड छवि
Gift Cards,Gift Cards,Tarjetas de regalo,بطاقات الهدايا,Cartes-cadeaux,उपहार कार्ड
Gift Card Details,Gift Card Details,Detalles de la tarjeta de regalo,تفاصيل بطاقة الهدايا,Détails de la carte-cadeau,उपहार कार्ड विवरण
The system wallet does not have the currency code for the product currency code,The system wallet does not have the currency code for the product currency code,La billetera del sistema no tiene el código de moneda para el código de moneda del producto.,لا تحتوي محفظة النظام على رمز العملة الخاص برمز عملة المنتج,Le portefeuille système n'a pas le code de devise pour le code de devise du produit,सिस्टम वॉलेट में उत्पाद मुद्रा कोड के लिए मुद्रा कोड नहीं है
Sender Country Is Not Valid,Sender Country Is Not Valid,El país del remitente no es válido,بلد المرسل غير صالح,Le pays de l'expéditeur n'est pas valide,प्रेषक का देश मान्य नहीं है
Receiver Country Is Not Valid,Receiver Country Is Not Valid,El país del receptor no es válido,بلد المتلقي غير صالح,Le pays du destinataire n'est pas valide,प्राप्तकर्ता देश मान्य नहीं है
You don't have sufficient balance,You don't have sufficient balance,No tienes saldo suficiente,ليس لديك رصيد كافي,Vous n'avez pas de solde suffisant,आपके पास पर्याप्त संतुलन नहीं है
Your Gift Card Order Has Been Successfully Processed,Your Gift Card Order Has Been Successfully Processed,Su pedido de tarjeta de regalo se ha procesado correctamente,تمت معالجة طلب بطاقة الهدايا الخاصة بك بنجاح,Votre commande de carte-cadeau a été traitée avec succès,आपका उपहार कार्ड ऑर्डर सफलतापूर्वक संसाधित हो गया है
enter Phone Number,Enter Phone Number,Ingrese el número de teléfono,أدخل رقم الهاتف,Entrez le numéro de téléphone,फ़ोन नंबर दर्ज करें
From Name,From Name,Del nombre,من الاسم,Du nom,नाम से
Your Name,Your Name,Su nombre,اسمك,Votre nom,आपका नाम
Quantity,Quantity,Cantidad,كمية,Quantité,मात्रा
Buy Now,Buy Now,Comprar ahora,اشتري الآن,Acheter maintenant,अभी खरीदें
Buy Gift Card,Buy Gift Card,Comprar tarjeta de regalo,شراء بطاقة الهدايا,Acheter une carte-cadeau,उपहार कार्ड खरीदें
Product Name,Product Name,Nombre del producto,اسم المنتج,Nom du produit,प्रोडक्ट का नाम
Receiver Country,Receiver Country,País receptor,بلد الاستقبال,Pays du destinataire,प्राप्तकर्ता देश
Total Price,Total Price,Precio total,السعر الإجمالي,Prix ​​total,कुल कीमत
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف,Total des frais et charges,कुल शुल्क एवं शुल्क
Amount Field Is Required,Amount Field Is Required,El campo de cantidad es obligatorio,حقل المبلغ مطلوب,Le champ Montant est obligatoire,राशि फ़ील्ड आवश्यक है
Receiver Email Field Is Required,Receiver Email Field Is Required,El campo de correo electrónico del destinatario es obligatorio,حقل البريد الإلكتروني للمستلم مطلوب,Le champ de courrier électronique du destinataire est obligatoire,प्राप्तकर्ता ईमेल फ़ील्ड आवश्यक है
Invalid Email Format,Invalid Email Format,Formato de correo electrónico no válido,تنسيق البريد الإلكتروني غير صالح,Format d'e-mail invalide,अमान्य ईमेल प्रारूप
Country Field Is Required,Country Field Is Required,El campo del país es obligatorio,حقل البلد مطلوب,Le champ Pays est obligatoire,देश फ़ील्ड आवश्यक है
Receiver Phone Field Is Required,Receiver Phone Field Is Required,El campo del teléfono del receptor es obligatorio,حقل هاتف المتلقي مطلوب,Le champ du téléphone du destinataire est obligatoire,रिसीवर फ़ोन फ़ील्ड आवश्यक है
From Name Field Is Required,From Name Field Is Required,El campo del nombre es obligatorio,من حقل الاسم مطلوب,Le champ du nom de l'expéditeur est obligatoire,नाम फ़ील्ड से आवश्यक है
Gift Card Logs,Gift Card Logs,Registros de tarjetas de regalo,سجلات بطاقات الهدايا,Journaux de cartes-cadeaux,उपहार कार्ड लॉग
Payable Unit Price,Payable Unit Price,Precio unitario a pagar,سعر الوحدة المستحق الدفع,Prix ​​unitaire à payer,देय इकाई मूल्य
Card Currency,Card Currency,Moneda de la tarjeta,عملة البطاقة,Devise de la carte,कार्ड मुद्रा
Card Api Currency,Card Api Currency,Tarjeta API Moneda,عملة بطاقة API,Devise de l'API de la carte,कार्ड एपीआई मुद्रा
Api Discount,Api Discount,Descuento API,خصم أبي,Remise API,एपीआई छूट
Api Fee,Api Fee,Tarifa API,رسوم واجهة برمجة التطبيقات,Frais API,एपीआई शुल्क
Api Sms Fee,Api Sms Fee,Tarifa SMS API,رسوم الرسائل القصيرة API,Frais SMS API,एपीआई एसएमएस शुल्क
Api Total Fee,Api Total Fee,Tarifa Total API,إجمالي رسوم واجهة برمجة التطبيقات,Frais totaux de l'API,एपीआई कुल शुल्क
Api Trx Id,Api Trx Id,ID de API Trx,معرف API Trx,Identifiant API Trx,एपीआई ट्रक्स आईडी
Gift Details For,Gift Details For,Detalles del regalo para,تفاصيل الهدية ل,Détails du cadeau pour,के लिए उपहार विवरण
Gift Card Api,Gift Card Api,API de tarjeta de regalo,واجهة برمجة تطبيقات بطاقة الهدايا,API de carte-cadeau,उपहार कार्ड एपीआई
Gift Card API Has Been Updated.,Gift Card API Has Been Updated.,La API de la tarjeta de regalo se ha actualizado.,تم تحديث واجهة برمجة تطبيقات بطاقة الهدايا.,L'API des cartes-cadeaux a été mise à jour.,गिफ्ट कार्ड एपीआई अपडेट कर दिया गया है।
Client ID,Client ID,ID de cliente,معرف العميل,Identifiant client,ग्राहक आईडी
Production URL,Production URL,URL de producción,عنوان URL للإنتاج,URL de production,उत्पादन यूआरएल
Sandbox URL,Sandbox URL,URL de zona de pruebas,عنوان URL الخاص بوضع الحماية,URL du bac à sable,सैंडबॉक्स यूआरएल
Webhook URL,Webhook URL,URL de webhook,عنوان URL للويب هوك,URL du webhook,वेबहुक यूआरएल
Api ENV,Api ENV,API ENV,واجهة برمجة التطبيقات إنف,API ENV,एपीआई ईएनवी
Production,Production,Producción,إنتاج,Production,उत्पादन
Sandbox,Sandbox,Salvadera,رمل,Bac à sable,सैंडबॉक्स
Setup Gift Card Api,Setup Gift Card Api,Configurar API de tarjeta de regalo,إعداد واجهة برمجة تطبيقات بطاقة الهدايا,Configurer l'API de la carte-cadeau,उपहार कार्ड एपीआई सेटअप करें
Update Rate,Update Rate,Tasa de actualización,معدل التحديث,Taux de mise à jour,अद्यतन दर
AppLGiftCard,Gift Card,Tarjeta de regalo,بطاقة هدية,Carte-cadeau,उपहार कार्ड
AppLGiftCards,Gift Cards,Tarjetas de regalo,بطاقات الهدايا,Cartes-cadeaux,उपहार कार्ड
AppLGiftCardDetails,Gift Card Details,Detalles de la tarjeta de regalo,تفاصيل بطاقة الهدايا,Détails de la carte-cadeau,उपहार कार्ड विवरण
AppLFromName,From Name,Del nombre,من الاسم,Du nom,नाम से
AppLQuantity,Quantity,Cantidad,كمية,Quantité,मात्रा
AppLWallet,Wallet,Billetera,محفظة,Portefeuille,बटुआ
AppLBuyNow,Buy Now,Comprar ahora,اشتري الآن,Acheter maintenant,अभी खरीदें
AppLTrxID,Trx Id,ID de tratamiento,معرف تركس,Identifiant d'envoi,ट्रक्स आईडी
Live,Live,Vivir,يعيش,En direct,रहना
Billing Country,Billing Country,País de facturación,بلد إرسال الفواتير,Pays de facturation,बिलिंग देश
Billing City,Billing City,Ciudad de facturación,مدينة الفواتير,Ville de facturation,बिलिंग शहर
Billing State,Billing State,Estado de facturación,دولة إرسال الفواتير,État de facturation,बिलिंग राज्य
Billing Zip Code,Billing Zip Code,Código postal de facturación,الرمز البريدي للفوترة,Code postal de facturation,बिलिंग पिन कोड
Billing Address,Billing Address,Dirección de Envio,عنوان الفواتير,adresse de facturation,बिलिंग पता
App Section,App Section,Sección de aplicaciones,قسم التطبيقات,Section des applications,ऐप अनुभाग
System Maintenance,System Maintenance,Mantenimiento del sistema,صيانة النظام,Entretien du système,प्रणाली रखरखाव
Setup Module,Setup Module,Módulo de configuración,وحدة الإعداد,Module de configuration,सेटअप मॉड्यूल
Setup Module Settings,Setup Module Settings,Configuración del módulo de configuración,إعدادات وحدة الإعداد,Paramètres du module de configuration,सेटअप मॉड्यूल सेटिंग्स
Module not found!,Module not found!,¡Módulo no encontrado!,لم يتم العثور على الوحدة النمطية!,Module introuvable !,मॉड्यूल नहीं मिला!
Module status updated successfully!,Module status updated successfully!,¡El estado del módulo se actualizó exitosamente!,تم تحديث حالة الوحدة بنجاح!,L'état du module a été mis à jour avec succès !,मॉड्यूल स्थिति सफलतापूर्वक अपडेट की गई!
Module Name,Module Name,Nombre del módulo,اسم الوحدة,Nom du module,मोड्यूल का नाम
Notification configuration not found!,Notification configuration not found!,¡No se encontró la configuración de notificación!,لم يتم العثور على تكوين الإخطار!,Configuration de notification introuvable !,अधिसूचना कॉन्फ़िगरेशन नहीं मिला!
Server Error. Failed to generate beams token.,Server Error. Failed to generate beams token.,Error del servidor. No se pudo generar el token de vigas.,خطأ في الخادم. فشل في إنشاء رمز الحزم.,Erreur de serveur. Échec de la génération du jeton de poutres.,सर्वर त्रुटि. बीम टोकन उत्पन्न करने में विफल.
The First Name field should only contain letters and cannot start with a number or special character.,The First Name field should only contain letters and cannot start with a number or special character.,El campo Nombre solo debe contener letras y no puede comenzar con un número o carácter especial.,يجب أن يحتوي حقل الاسم الأول على أحرف فقط ولا يمكن أن يبدأ برقم أو حرف خاص.,Le champ Prénom ne doit contenir que des lettres et ne peut pas commencer par un chiffre ou un caractère spécial.,प्रथम नाम फ़ील्ड में केवल अक्षर होने चाहिए और किसी संख्या या विशेष वर्ण से प्रारंभ नहीं किया जा सकता।
The Last Name field should only contain letters and cannot start with a number or special character.,The Last Name field should only contain letters and cannot start with a number or special character.,El campo Apellido solo debe contener letras y no puede comenzar con un número o carácter especial.,يجب أن يحتوي حقل اسم العائلة على أحرف فقط ولا يمكن أن يبدأ برقم أو حرف خاص.,Le champ Nom de famille ne doit contenir que des lettres et ne peut pas commencer par un chiffre ou un caractère spécial.,अंतिम नाम फ़ील्ड में केवल अक्षर होने चाहिए और किसी संख्या या विशेष वर्ण से शुरू नहीं होना चाहिए।
All Notification,All Notification,Todas las notificaciones,كل الإخطار,Toutes les notifications,सभी अधिसूचना
Notification Type,Notification Type,Tipo de notificación,نوع الإخطار,Type de notification,जानकारी प्रकार
Receive Money Details,Receive Money Details,Recibir detalles de dinero,تلقي تفاصيل الأموال,Recevoir des détails sur l'argent,धन विवरण प्राप्त करें
Hello,Hello,Hola,مرحبًا,Bonjour,नमस्ते
Received Amount,Received Amount,Monto recibido,المبلغ المستلم,Montant reçu,प्राप्त राशि
Date And Time,Date And Time,Fecha y hora,التاريخ والوقت,Date et heure,तिथि और समय
Thank you for using our application!,Thank you for using our application!,¡Gracias por utilizar nuestra aplicación!,شكرا لك على استخدام التطبيق لدينا!,Merci d'utiliser notre application !,हमारे एप्लिकेशन का उपयोग करने के लिए धन्यवाद!
Transfer Money Success,Transfer Money Success,Transferir dinero con éxito,نجاح تحويل الأموال,Transférer de l'argent avec succès,धन हस्तांतरण में सफलता
Received Money from,Received Money from,Dinero recibido de,تم استلام الأموال من,Reçu de l'argent de,से धन प्राप्त हुआ
Gift Card Order,Gift Card Order,Orden de tarjeta de regalo,طلب بطاقة الهدايا,Commande de carte-cadeau,उपहार कार्ड ऑर्डर
